"","subject","breed","age","sex","condition","side_fakedog","side_chair","blocking.sum","non.off.manipulation.sum","dom.beh.sum","interaction.dog.sum","dog.approach.sum","sniffing.dog.sum","blocking.presence","non.off.manipulation.presence","dom.beh.presence","interaction.dog.presence","sniffing.dog.presence","human","treatment"
"89","Schoko","Magyar_Viszla",114,"female","SM","left","right",0,0,0,1,1,1,0,0,0,1,1,"S","M"
"90","Sepp","Beagle",87,"male","SM","right","right",0,0,0,0,1,6,0,0,0,0,1,"S","M"
"91","Sheila","mixbreed",81,"female","SM","left","right",1,0,0,0,1,4,1,0,0,0,1,"S","M"
"92","Sixtus","Brabanter_Griffon",37,"male","SM","right","right",0,0,0,0,0,0,0,0,0,0,0,"S","M"
"93","Snoopy6","Beagle",90,"male","CM","right","right",1,0,4,0,1,4,1,0,1,0,1,"C","M"
"94","Sophie","Papillon",56,"female","SM","right","left",7,0,1,0,1,20,1,0,1,0,1,"S","M"
"95","Spin","Shetland_Sheepdog",46,"male","SP","right","left",2,0,0,0,1,9,1,0,0,0,1,"S","P"
"96","Suka-Sevilla","Galgo",113,"female","SP","right","left",0,0,0,0,1,4,0,0,0,0,1,"S","P"
"97","Sunny10","Miniature_Poodle",30,"female","SM","right","right",0,0,0,0,0,0,0,0,0,0,0,"S","M"
"98","Thor","Husky",33,"male","CM","left","left",1,1,2,0,1,15,1,1,1,0,1,"C","M"
"99","Yuki","mixbreed",49,"female","CP","left","right",4,4,0,0,1,18,1,1,0,0,1,"C","P"
"100","Zeus3","mixbreed",57,"male","SM","right","left",0,0,0,0,0,0,0,0,0,0,0,"S","M"
"101","Zoe4","German Spitz_Pomeranian",137,"female","CP","right","left",0,0,0,0,1,1,0,0,0,0,1,"C","P"
"102","Zuri","Rhodesian_Ridgeback",119,"female","CP","left","right",1,0,0,0,1,6,1,0,0,0,1,"C","P"
